type_of_images,algorithm,numFeatures,width,height,distance,run_num,run_time,temperature,rvecs[0],rvecs[1],rvecs[2],tvecs[0],tvecs[1],tvecs[2]
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,3,44.77400016784668,80,0.0,0.0,0.0,0.0,0.0,0.0
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,3,44.955000162124634,86,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,3,45.212000131607056,92,0.0,0.0,0.0,0.0,0.0,0.0
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,4,43.30299997329712,44,-41.219491678620223,8.3684643825718545,3.2751995922291939,-1.5036844307082893,1.497894322246845,51.054102432688424
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,4,43.490999937057495,48,-38.325056623494589,3.0794772231124554,2.0297703065920212,-1.4505424376436811,1.4216320128158695,49.165733098345456
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,4,43.71199989318848,56,-36.441589067198414,5.9089063572889557,3.2559232903432385,-1.4299992094701686,1.4984384138413744,50.997189996655649
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,4,43.94999980926514,62,-36.726777570877886,4.3375941044809414,2.7828843720425831,-1.4741497616596919,1.4725018029674668,50.376382452550587
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,4,44.151000022888184,68,-37.759978527389066,-2.5431893117657713,0.93851355182945118,-1.4082098527548592,1.5005576437170414,50.506306926305513
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,4,44.49499988555908,74,0.0,0.0,0.0,0.0,0.0,0.0
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,4,44.66699981689453,80,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,4,44.83200001716614,86,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,4,45.001999855041504,92,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,5,39.7189998626709,44,-36.493008330172607,3.8275760756274302,3.3247506752224378,-1.4546694412487882,1.418811086143938,50.183667762349813
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,5,39.95099997520447,48,-37.349048102773338,6.4897737482694167,3.2164620227942229,-1.4757465509893501,1.4622432862926853,50.627162237235098
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,5,40.17799997329712,56,-37.526692285030144,4.802372478966821,2.7583345758528481,-1.4882245375684204,1.4811165779653668,50.619074446485094
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,5,40.43400001525879,62,-34.712194460209574,-0.74214354236260238,0.28370768872210123,-1.6175278901695263,1.4780872320341603,51.908254363101456
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,5,40.662999868392944,68,-38.45755012755631,6.5505870616589581,3.0656621088924614,-1.4282739481740028,1.4861860881667113,50.52089658332639
